tmdb_id,adult,belongs_to_collection,collection_id,budget,genres,overview,production_company_id,production_company_name,release_month,release_year,revenue,tagline
2503,False,True,31562,70000000,"['Action', 'Drama', 'Mystery', 'Thriller']","Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",33,Universal Pictures,8,2007,442824138,Remember everything. Forgive nothing.
58595,False,True,393379,170000000,"['Adventure', 'Fantasy', 'Drama']","After the Evil Queen marries the King, she performs a violent coup in which the King is murdered and his daughter, Snow White, is taken captive. Almost a decade later, a grown Snow White is still in the clutches of the Queen. In order to obtain immortality, The Evil Queen needs the heart of Snow White. After Snow escapes the castle, the Queen sends the Huntsman to find her in the Dark Forest.",33,Universal Pictures,5,2012,396600000,The fairytale is over
9543,False,False,,200000000,"['Adventure', 'Fantasy', 'Action']","A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",2,Walt Disney Pictures,5,2010,336365676,Defy the Future
8960,False,True,1036499,150000000,"['Fantasy', 'Action']","Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?",5,Columbia Pictures,7,2008,629400000,There are heroes. There are superheroes. And then there's Hancock.
1844,False,False,,66000000,"['Romance', 'Drama', 'Mystery']","Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.",414,Fountainbridge Films,4,1999,212400000,The trap is set.
44896,False,False,,135000000,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']","When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",4,Paramount,3,2011,245700000,Heroes come in all different colors.
691,False,True,645,13000000,"['Adventure', 'Action', 'Thriller']",Russian and British submarines with nuclear missiles on board both vanish from sight without a trace. England and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case.,7576,EON Productions,7,1977,185438673,It's the BIGGEST. It's the BEST. It's BOND. And B-E-Y-O-N-D.
43074,False,False,,144000000,"['Action', 'Fantasy', 'Comedy']","Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",84042,Ghost Corps,7,2016,229147509,Who You Gonna Call?
19959,False,False,,80000000,"['Science Fiction', 'Action', 'Thriller']","Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.",11845,Wintergreen Productions,9,2009,122400000,How do you save humanity when the only thing that's real is you?
123553,False,False,,60000000,"['Fantasy', 'Action', 'Mystery']","In New York City, Clary Fray, a seemingly ordinary teenager, learns that she is descended from a line of Shadowhunters — half-angel warriors who protect humanity from evil forces. After her mother disappears, Clary joins forces with a group of Shadowhunters and enters Downworld, an alternate realm filled with demons, vampires, and a host of other creatures. Clary and her companions must find and protect an ancient cup that holds the key to her mother's future.",3287,Screen Gems,8,2013,95396573,There is a world hidden within our own.
