source_actor,target_actor,year,roi
2617,10091,2001.0,3.2257142857142855
2617,10477,2003.0,4.184210526315789
1779,13537,2002.0,10.725156962025316
1779,13537,2003.0,10.903074244680852
4765,13537,2002.0,10.725156962025316
1779,4765,2002.0,10.725156962025316
1945,5782,2016.0,-0.9459939047619048
1945,16878,2016.0,-0.9459939047619048
5782,16878,2016.0,-0.9459939047619048
1870,15821,2014.0,0.17831631
650,1870,2014.0,0.17831631
650,15821,2014.0,0.17831631
5147,5677,2019.0,4.940176854545455
5147,8958,2019.0,4.940176854545455
5147,8958,2014.0,3.43808305
5147,8958,2017.0,3.288497175
5677,8958,2019.0,4.940176854545455
2756,8859,2014.0,1.9312605
8859,16488,2014.0,1.9312605
2756,16488,2014.0,1.9312605
7553,12592,2023.0,2.37134868
9265,12592,2023.0,2.37134868
7553,9265,2023.0,2.37134868
3684,5589,2016.0,3.791500589041096
3684,5589,2019.0,1.2737238
341,5589,2016.0,3.791500589041096
341,5589,2019.0,1.2737238
341,3684,2016.0,3.791500589041096
341,3684,2019.0,1.2737238
16927,17124,2018.0,3.4476724214285714
16927,17124,2015.0,2.9947074230769233
16927,17124,2023.0,1.3803559
6645,16927,2018.0,3.4476724214285714
6645,17124,2018.0,3.4476724214285714
6821,9887,2019.0,-0.9895194
7383,9887,2019.0,-0.9895194
6821,7383,2019.0,-0.9895194
3395,16722,2011.0,-0.34692203921568626
16516,16722,2011.0,-0.34692203921568626
3395,16516,2011.0,-0.34692203921568626
14295,14432,2003.0,3.6786516
14295,14432,2006.0,4.3285
14295,14432,2007.0,2.203333333333333
5393,14432,2003.0,3.6786516
5393,14432,2006.0,4.3285
5393,14432,2007.0,2.203333333333333
5393,14295,2003.0,3.6786516
5393,14295,2006.0,4.3285
5393,14295,2007.0,2.203333333333333
3224,6120,1994.0,-0.3614374444444444
6120,17876,1994.0,-0.3614374444444444
3224,17876,1994.0,-0.3614374444444444
6640,8999,1973.0,1.1485066
3729,8999,1973.0,1.1485066
3729,6640,1973.0,1.1485066
1663,14029,2014.0,4.115451185185186
8008,14029,2014.0,1.9087972744107746
1663,8008,2014.0,4.115451185185186
471,11265,2008.0,0.8244444444444444
471,16602,2008.0,0.8244444444444444
11265,16602,2008.0,0.8244444444444444
8977,9689,2022.0,-0.9729156923076923
8332,8977,2022.0,-0.9729156923076923
8332,9689,2022.0,-0.9729156923076923
1387,11162,2018.0,6.144514836363636
8262,11162,2018.0,6.144514836363636
8262,11162,2016.0,12.497195637931034
1387,8262,2018.0,6.144514836363636
12343,16395,1993.0,-0.6
7964,12343,1993.0,-0.6
7964,16395,1993.0,-0.6
2517,9105,1983.0,-0.3888888888888889
4028,9105,1983.0,-0.3888888888888889
2517,4028,1983.0,-0.3888888888888889
2817,11047,2000.0,3.518069669902913
2817,12779,2000.0,3.518069669902913
11047,12779,2000.0,3.518069669902913
2437,13226,2020.0,-0.15199482
2437,13226,2017.0,4.5225119865771815
2437,6410,2020.0,-0.15199482
6410,13226,2020.0,-0.15199482
1945,10644,2013.0,0.763095238095238
1945,10644,2010.0,2.4310344827586206
1945,17415,2013.0,0.763095238095238
10644,17415,2013.0,0.763095238095238
9348,9935,1996.0,0.35789473684210527
9348,16621,1996.0,0.35789473684210527
9935,16621,1996.0,0.35789473684210527
2963,3337,1999.0,0.30649812352941175
3337,7745,1999.0,0.30649812352941175
2963,7745,1999.0,0.30649812352941175
2963,7745,2000.0,-0.1957894736842105
1945,7956,1996.0,-0.2945223731343284
1945,10742,1996.0,-0.2945223731343284
7956,10742,1996.0,-0.2945223731343284
