tmdb_id,adult,belongs_to_collection,collection_id,budget,genres,overview,production_company_id,production_company_name,release_month,release_year,revenue,tagline,director,actor_0_name,actor_0_id,actor_0_gender,actor_1_name,actor_1_id,actor_1_gender,actor_2_name,actor_2_id,actor_2_gender,actor_3_name,actor_3_id,actor_3_gender,actor_4_name,actor_4_id,actor_4_gender
87533,False,False,,5000000,"['Action', 'Thriller']",A group of dangerous terrorists succeeds to get hold of a tank of the army and all its crew.,28433,Bulletproof Productions,4,1988,807947,Improbable Odds. Unstoppable Force.,Fred Olen Ray,Gary Busey,2048,2,Darlanne Fluegel,4761,1,Henry Silva,14731,2,Thalmus Rasulala,86138,2,L.Q. Jones,8262,2
23538,False,False,,4700000,"['Crime', 'Drama', 'Action']",A small-time thug who collects debts for the local triad is torn between his criminal aspirations and his devotion to family.,3657,Sidus,10,2006,10371998,A world without trust and mercy.,Yoo Ha,Zo In-sung,127564,2,Cheon Ho-jin,87090,2,Namkoong Min,1239247,2,Lee Bo-young,1238990,1,Jin Goo,1299287,2
461809,False,False,,1400000,"['Action', 'Crime', 'Thriller']","Two contract killer from Uttar Pradesh, Babu Bihari and Banke Bihari who are often paid to bump off the same game, cross each other's path and end up fighting with each other.",114413,Movies by the Mob,8,2017,2500000,,Kushan Nandy,Nawazuddin Siddiqui,85047,2,Bidita Bag,1376743,1,Shraddha Das,1065777,1,Murli Sharma,85588,2,Divya Dutta,35778,1
4612,False,False,,8000000,"['Action', 'Science Fiction']","In the near future, a virus has infected everyone on the planet, and Absolon is a drug that everyone must take to stay alive. One corporation controls the drug. Murchison is the leader of this firm. A scientist who was researching the virus is found murdered, and Norman Scott is the policeman who investigates the crime.",1069,GFT Entertainment,3,2003,7016,,David DeBartolomé,Christophe Lambert,38559,2,Lou Diamond Phillips,38560,2,Kelly Brook,38561,1,Ron Perlman,2372,2,Roberta Angelica,38562,1
287590,False,True,109079,23000000,"['Action', 'Animation', 'Fantasy']","Warriors called ""Saints"" are the champions of hope who have always appeared since the Age of Myth whenever evil threatens the world. In this present day story, many years since the long fought ""Holy War"" we find Saori Kido, a girl troubled by her mysterious powers. She is saved by a boy, Seiya ""Bronze Saint"" from a sudden attack by an assassin, through the accident Saori realizes her destiny and mission and decides to go to ""Sanctuary"" with Seiya and his company of Bronze Saints. In Sanctuary they confront ""Pope"" and wage a desperate battle against the greatest Saints, the ""Gold Saints"".",5542,Toei Animation,6,2014,17150803,,Keiichi Sato,Kaito Ishikawa,1324666,2,Ayaka Sasaki,1271328,1,Kenji Akabane,1071545,2,Kensho Ono,1065297,2,Nobuhiko Okamoto,1245094,2
57186,False,False,,500000,"['Action', 'Crime', 'Drama']","Novica is a mathematics champion in a Belgrade high school. In an attempt to overcome the ‘geek’ status at school, Novica becomes attracted to the world of skinheads by his school friend Relja. Novica is exposed to violence, hooliganism and racism; embracing the ideology and climbing up the ladder in the gang hierarchy.",51316,Hypnopolis,10,2010,288512,Life is sometimes rude game: one mistake can buy you ticket to hell.,,Nikola Rakočević,228763,2,Viktor Savić,226141,1,Bojana Novaković,81682,1,Nataša Tapušković,85689,1,Nikola Kojo,89904,2
503928,False,False,,7000000,"['Adventure', 'Animation', 'Action', 'History', 'Family']","Mahabharat is considered as the greatest and the longest epic in world literature It has all the possible elements that a story could have - conflict, duty, sacrifice, heroism, truth, justice, romance, adventure, fantasy and relationships - making it truly an all-encompassing fascinating saga.",116695,Bubble Creations Digital Studios,12,2013,210000,,Amaan Khan,Amitabh Bachchan,35780,2,Ajay Devgn,42803,2,Vidya Balan,35068,1,Sunny Deol,86302,2,Anil Kapoor,72118,2
29231,False,False,,50,"['Action', 'Crime', 'Drama', 'Thriller']","An elaborate heist unites 8 strangers in a simultaneous assault on targets all over the city- and explodes in a hailstorm of gunfire and high-speed chases in this powerful action-thriller.  Recruited by a Mafia nightclub owner (Eric Roberts), 4 teams launch a brutal cross-town attack to retrieve suitcases full of cash.  But as the violence escalates, the team members discover just who their real target has been all along - and the shocking truth they have in common.",925,Nu Image,10,1995,83,It was a chance of a lifetime. If they lived that long.,Brian Grant,Eric Roberts,21315,2,Tia Carrere,13445,1,Joe Pantoliano,532,2,Tony Curtis,3150,2,Chris Rock,2632,2
31525,False,False,,3000000,"['Crime', 'Drama', 'History']","Born in British India, Bhagat Singh witnesses numerous atrocities during his childhood and grows up to become one of the most fearless freedom fighters in the country.",,,6,2002,6000000,,,Ajay Devgn,42803,2,Amrita Rao,85890,1,Sushant Singh,110707,2,Akhilendra Mishra,85724,2,D. Santosh,1411113,0
161321,False,False,,4000000,"['Crime', 'Drama']","Spies, cops and armed children cross paths on a day of danger, mystery and possible transformation. Five unusual characters are unknowingly connected to an extraordinary smuggling operation, as religious conspiracy collides with urban crime.",42466,Steelyard Pictures,2,2013,45659,We are all watching.,Lin Oeding,Christopher Walken,4690,2,Louise Linton,93792,1,Christian Slater,2224,2,Nicky Whelan,212833,1,Anthony Anderson,18471,2
105001,False,True,528179,25477000,"['Adventure', 'Action', 'Science Fiction', 'Comedy', 'Fantasy']","An imperial guard and his three traitorous childhood friends ordered to hunt him down get accidentally buried and kept frozen in time. 400 years later, they are defrosted continuing the battle they left behind.",33634,China 3D Digital Entertainment,4,2014,26033917,,Huang Jianxin,Donnie Yen,1341,2,Wang Baoqiang,71051,2,Huang Shengyi,83635,1,Simon Yam,20519,2,Yu Kang,1089434,2
19669,False,False,,10000000,"['Action', 'Crime', 'Thriller']","A fortnight before her eighteenth birthday, Sonia goes missing. Her family receives a call informing them that she has been kidnapped and her estranged father, a US-based businessman, must now follow the kidnapper’s instructions to the letter if he is to entertain any hopes of seeing her alive again. Is this a mere kidnapping or is there more to it than what meets the eye?",3748,Shree Ashtavinayak Cinevision Ltd,10,2008,8750000,,Sanjay Gadhvi,Imran Khan,85063,2,Sanjay Dutt,85881,2,Minissha Lamba,85036,1,Vidya Malvade,86066,1,Reema Lagoo,35750,1
21700,False,False,,3350000,"['Comedy', 'Action', 'Crime']","Mommy's boy Juantxo is engaged. Dragged to the party by his friends Konradin and Paco, he loses his expensive wedding ring inside the body of a prostitute. Mafioso whorehouse owner Villambrosa finds the ring. Meanwhile Villambrosa's rival gangster Souza sends femme fatale Fatima to check things out. Juantxo and his friends are trying to get the ring back and in the process get involved in the war between gangs.",982,Road Movies Dritte Produktionen,6,1997,8000000,,Christian Molina,Fernando Guillén Cuervo,149307,2,Karra Elejalde,24977,2,Alberto San Juan,27462,2,Karlos Arguiñano,1049373,2,Manuel Manquiña,264955,2
98344,False,True,313234,25000000,"['Drama', 'Action', 'History']","An indigenous clan-based people living in harmony with nature find their way of life threatened when violent interlopers from another culture arrive, intent on seizing their natural resources and enslaving them. Warriors of the Rainbow: Seediq Bale - Part 1: The Sun Flag is Part one of the two-part, four-hour Taiwanese edition of the film Warriors of the Rainbow.",25345,Central Motion Picture Corporation,9,2011,29000000,A man rises up to lead his people in a brave and risky struggle for freedom in this epic-scale historical drama.,John Woo,Nolay Piho,1017335,2,Umin Boya,1017332,2,Masanobu Ando,74862,2,Sabu Kawahara,90347,2,Vivian Hsu,70706,1
366080,False,False,,18700000,"['Action', 'Crime', 'Drama']",A gangster in Malaysia goes in search of his family after 25 years of imprisonment.,27430,V Creations,7,2016,74000000,,,Rajinikanth,91555,2,Radhika Apte,223167,1,Sai Dhanshika,1059589,1,Winston Chao,57054,2,Kishore,550166,2
454545,False,True,531143,7000000,"['Comedy', 'Adventure', 'Family', 'Action']","Felix's school is haunted again, only this time it's not the benevolent spirit of school founder Otto Leonhard and the nuisance he caused, but the hated and long-since dead Director Hulda Stingbeard. A coincidence causes the former shrunken and skeletonized school principle to rise again. When she manages to return to real life she almost defeats Otto Leonhard, manages to shrink Dr. Schmitt-Gössenwein and Felix' parents, and takes over the school. It takes Felix, Ella and their gang to set the levers in motion to save the school and bring Dr. Schmitt-Gössenwein and his parents back to their original size again.",3460,Blue Eyes Fiction,1,2018,8400000,Small parents. Big trouble.,Tim Trageser,Oskar Keymer,1529311,2,Lina Hüesker,1290463,1,Otto Waalkes,46029,2,Andrea Sawatzki,7823,1,Axel Stein,37246,2
17935,False,False,,25000000,"['Drama', 'History']","Set in the 16th century, this is a story about Ukraine's Cossack warriors and their campaign to defend their lands from the advancing Polish armies.",24346,ARK-Film,4,2009,16815892,,Vladimir Bortko,Magdalena Mielcarz,82514,1,Bohdan Stupka,82513,2,Vladimir Vdovichenkov,236369,2,Igor Petrenko,93536,2,Mikhail Boyarskiy,238487,2
512954,False,False,,4302540,"['Drama', 'Action', 'War']",1988-1989. The end of the Soviet-Afghan war. The USSR begins its withdrawal from Afghanistan. Soviet General Vasiliev's son - a pilot named Alexander gets kidnapped by the mujahideen after his airplane crashes. As a result the 108th motorized infantry division's long awaited return home gets put on hold for one last mission: bring the General's son back. Based on true events the previously untold story of the courageous and tragic withdrawal campaign (through the Salang pass) reveals the danger the horror and the complexity of human nature during wartime.,102354,Germes Film,5,2019,731827,The war is over. Not their mission.,Pavel Lungin,Kirill Pirogov,86951,2,Yan Tsapnik,235919,2,Vitaly Kishchenko,587623,2,Fyodor Lavrov,227674,2,Oleg Vasilkov,85221,2
